"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","59.6414","59.4591","60.1823","59.0820","-","0.15%"
"Apr 27, 2020","59.5528","60.1913","60.3102","59.2089","-","-1.14%"
"Apr 24, 2020","60.2394","60.9243","61.1869","60.0247","-","-0.88%"
"Apr 23, 2020","60.7754","60.9899","61.7560","60.7080","-","0.15%"
"Apr 22, 2020","60.6816","59.7973","60.9687","58.8710","-","1.97%"
"Apr 21, 2020","59.5078","61.8860","61.9664","59.3260","-","-3.99%"
"Apr 20, 2020","61.9780","62.0479","62.2335","61.4962","-","-0.19%"
"Apr 17, 2020","62.0936","62.4718","62.6759","61.9808","-","0.06%"
"Apr 16, 2020","62.0546","62.3476","62.3476","62.0546","-","0.14%"
"Apr 15, 2020","61.9659","63.0366","63.1390","61.7674","-","-1.72%"
"Apr 14, 2020","63.0517","63.8966","63.9938","62.8223","-","-0.53%"
"Apr 13, 2020","63.3847","63.8302","63.8738","63.1444","-","-0.14%"
"Apr 09, 2020","63.4759","63.5357","64.4111","63.2024","-","0.52%"
"Apr 08, 2020","63.1471","63.4265","63.6838","62.9863","-","-0.11%"
"Apr 07, 2020","63.2193","63.6404","63.8927","63.1963","-","0.64%"
"Apr 06, 2020","62.8180","62.0692","62.9403","62.0261","-","1.00%"
"Apr 03, 2020","62.1957","61.4663","62.7231","61.2454","-","1.05%"
"Apr 02, 2020","61.5486","60.4740","62.8340","60.4711","-","2.09%"
"Apr 01, 2020","60.2898","61.6785","61.6844","60.2800","-","-2.53%"
"Mar 31, 2020","61.8577","62.4266","62.6836","61.7604","-","-0.33%"
"Mar 30, 2020","62.0639","62.1797","62.3948","61.7458","-","-1.04%"
"Mar 27, 2020","62.7145","63.4438","63.6321","62.5419","-","-0.96%"
"Mar 26, 2020","63.3252","63.5774","64.1275","63.1464","-","-1.03%"
"Mar 25, 2020","63.9846","64.2792","64.4166","63.2276","-","0.34%"
"Mar 24, 2020","63.7663","62.8777","64.0280","62.3156","-","2.84%"
"Mar 23, 2020","62.0083","60.4681","62.0938","60.2924","-","1.49%"
"Mar 20, 2020","61.0998","61.5072","63.1766","61.0745","-","-0.53%"
"Mar 19, 2020","61.4271","59.8711","61.6166","59.0877","-","3.27%"
"Mar 18, 2020","59.4795","62.3379","62.4650","59.2555","-","-4.08%"
"Mar 17, 2020","62.0086","62.9740","63.2619","61.9913","-","-0.90%"
"Mar 16, 2020","62.5747","64.9744","65.1376","62.1945","-","-4.18%"
"Mar 13, 2020","65.3051","65.2108","67.6152","65.1198","-","-1.30%"
"Mar 12, 2020","66.1642","67.0530","67.3517","65.6415","-","-3.13%"
"Mar 11, 2020","68.3000","69.8131","69.8131","68.2664","-","-1.44%"
"Mar 10, 2020","69.2967","68.4983","69.4216","68.3699","-","2.13%"
"Mar 09, 2020","67.8483","67.2263","68.5339","66.3092","-","-4.16%"
"Mar 06, 2020","70.7933","72.3564","72.4430","70.7685","-","-2.60%"
"Mar 05, 2020","72.6831","73.4758","73.5609","72.6540","-","-0.75%"
"Mar 04, 2020","73.2289","73.5246","73.6714","73.1049","-","0.05%"
"Mar 03, 2020","73.1911","73.0185","73.9052","72.6776","-","0.99%"
"Mar 02, 2020","72.4728","72.0985","72.5787","71.5528","-","2.10%"
"Feb 28, 2020","70.9799","72.1648","72.1672","70.6124","-","-2.20%"
"Feb 27, 2020","72.5776","73.2934","73.3261","72.0625","-","-1.43%"
"Feb 26, 2020","73.6315","74.1604","74.2511","73.5350","-","-0.78%"
"Feb 25, 2020","74.2102","74.9608","74.9608","74.1600","-","-0.92%"
"Feb 24, 2020","74.9013","75.5531","75.6365","74.6439","-","-1.77%"
"Feb 21, 2020","76.2509","76.0971","76.3733","75.7901","-","0.05%"
"Feb 20, 2020","76.2138","76.5578","76.7087","76.1860","-","-0.46%"
"Feb 19, 2020","76.5688","76.1287","76.6224","75.9925","-","0.61%"
